feat,type,minimum,maximum
RulePredObjDistance,medium,0.6531972789115645,0.859102787456446
RulePredObjDistance,good,0.859102787456446,Inf
RulePredObjDistance.max_distance,good,-Inf,1.7149595687331536
RulePredObjDistance.max_distance,medium,1.7149595687331536,2.0754985754985755
RulePredObjDistance.max_distance,bad,2.0754985754985755,Inf
RulePredSubjDistance,bad,-Inf,0.05249727274467149
RulePredSubjDistance,medium,0.05249727274467149,0.06525805460900595
RulePredSubjDistance,good,0.06525805460900595,Inf
RulePredSubjDistance.max_distance,good,-Inf,1.946236559139785
RulePredSubjDistance.max_distance,medium,1.946236559139785,2.4479474548440066
RulePredSubjDistance.max_distance,bad,2.4479474548440066,Inf
RulePredSubjDistance.max_distance.v,good,-Inf,0.7018037074005995
RulePredSubjDistance.max_distance.v,medium,0.7018037074005995,0.9727954725666126
RulePredSubjDistance.max_distance.v,bad,0.9727954725666126,Inf
RuleRedundantExpressions,bad,-Inf,0
RuleRedundantExpressions,medium,0,0
RuleRedundantExpressions,good,0,Inf
RuleReflexivePassWithAnimSubj,good,-Inf,0
RuleReflexivePassWithAnimSubj,medium,0,0.0015786116191795706
RuleReflexivePassWithAnimSubj,bad,0.0015786116191795706,Inf
RuleRelativisticExpressions,good,-Inf,0
RuleRelativisticExpressions,medium,0,0
RuleRelativisticExpressions,bad,0,Inf
RuleTooFewVerbs.min_verb_frac,bad,-Inf,0.1876742424072616
RuleTooFewVerbs.min_verb_frac,medium,0.1876742424072616,0.22026097764800084
RuleTooFewVerbs.min_verb_frac,good,0.22026097764800084,Inf
RuleTooFewVerbs.min_verb_frac.v,good,-Inf,0.39253722710167116
RuleTooFewVerbs.min_verb_frac.v,medium,0.39253722710167116,0.4582475234141208
RuleTooFewVerbs.min_verb_frac.v,bad,0.4582475234141208,Inf
RuleTooLongExpressions,good,-Inf,0.0012079225508482103
RuleTooLongExpressions,medium,0.0012079225508482103,0.0030941369764439864
RuleTooLongExpressions,bad,0.0030941369764439864,Inf
RuleTooManyNegations.max_allowable_negations,bad,-Inf,1.148148148148148
RuleTooManyNegations.max_allowable_negations,medium,1.148148148148148,1.3512443438914028
RuleTooManyNegations.max_allowable_negations,good,1.3512443438914028,Inf
RuleTooManyNegations.max_allowable_negations.v,bad,-Inf,0.32588567133455015
RuleTooManyNegations.max_allowable_negations.v,medium,0.32588567133455015,0.4661572396544367
RuleTooManyNegations.max_allowable_negations.v,good,0.4661572396544367,Inf
RuleTooManyNegations.max_negation_frac,bad,-Inf,0.08895208598304574
RuleTooManyNegations.max_negation_frac,medium,0.08895208598304574,0.1110271106161754
RuleTooManyNegations.max_negation_frac,good,0.1110271106161754,Inf
RuleTooManyNominalConstructions.max_allowable_nouns,good,-Inf,2.763374746450304
RuleTooManyNominalConstructions.max_allowable_nouns,medium,2.763374746450304,3.249356630096167
RuleTooManyNominalConstructions.max_allowable_nouns,bad,3.249356630096167,Inf
RuleTooManyNominalConstructions.max_allowable_nouns.v,good,-Inf,0.6634542665052217
RuleTooManyNominalConstructions.max_allowable_nouns.v,medium,0.6634542665052217,0.7603530058102315
RuleTooManyNominalConstructions.max_allowable_nouns.v,bad,0.7603530058102315,Inf
RuleTooManyNominalConstructions.max_noun_frac,good,-Inf,0.3145102975621622
RuleTooManyNominalConstructions.max_noun_frac,medium,0.3145102975621622,0.3387134204283537
RuleTooManyNominalConstructions.max_noun_frac,bad,0.3387134204283537,Inf
RuleTooManyNominalConstructions.max_noun_frac.v,bad,-Inf,0.36226865400117375
RuleTooManyNominalConstructions.max_noun_frac.v,medium,0.36226865400117375,0.41825209959857507
RuleTooManyNominalConstructions.max_noun_frac.v,good,0.41825209959857507,Inf
RuleVerbalNouns,good,-Inf,0.042045199699319316
RuleVerbalNouns,medium,0.042045199699319316,0.062290790174716615
RuleVerbalNouns,bad,0.062290790174716615,Inf
RuleWeakMeaningWords,bad,-Inf,0
RuleWeakMeaningWords,medium,0,0.002021751450739474
RuleWeakMeaningWords,good,0.002021751450739474,Inf
activity,bad,-Inf,0.39401046810191587
activity,medium,0.39401046810191587,0.4496595967530767
activity,good,0.4496595967530767,Inf
ari,good,-Inf,10.360380850516606
ari,medium,10.360380850516606,12.182405996801286
ari,bad,12.182405996801286,Inf
atl,good,-Inf,5.381084065732275
atl,medium,5.381084065732275,5.674716251912043
atl,bad,5.674716251912043,Inf
cli,good,-Inf,10.67243785579054
cli,medium,10.67243785579054,11.890534690573055
cli,bad,11.890534690573055,Inf
entropy,good,-Inf,7.596054543139697
entropy,medium,7.596054543139697,7.994172061281053
entropy,bad,7.994172061281053,Inf
fkgl,good,-Inf,12.40205753833208
fkgl,medium,12.40205753833208,13.938030570595462
fkgl,bad,13.938030570595462,Inf
fre,bad,-Inf,32.59289351557182
fre,medium,32.59289351557182,40.5865627250363
fre,good,40.5865627250363,Inf
gf,good,-Inf,13.077756877331998
gf,medium,13.077756877331998,14.923358106099272
gf,bad,14.923358106099272,Inf
hpoint,bad,-Inf,11
hpoint,medium,11,16.666666666666668
hpoint,good,16.666666666666668,Inf
maentropy,good,-Inf,5.84089314081123
maentropy,medium,5.84089314081123,5.931965713436169
maentropy,bad,5.931965713436169,Inf
maentropy.v,bad,-Inf,0.02428721921946878
maentropy.v,medium,0.02428721921946878,0.03357893559976475
maentropy.v,good,0.03357893559976475,Inf
mamr,bad,-Inf,0.09402678571428567
mamr,medium,0.09402678571428567,0.11092316237541532
mamr,good,0.11092316237541532,Inf
mattr,good,-Inf,0.6766339514571877
mattr,medium,0.6766339514571877,0.7087150197971385
mattr,bad,0.7087150197971385,Inf
mattr.v,bad,-Inf,0.07118615305374512
mattr.v,medium,0.07118615305374512,0.09682268339037003
mattr.v,good,0.09682268339037003,Inf
num_hapax,good,-Inf,0.15947751192322712
num_hapax,medium,0.15947751192322712,0.2255563719263069
num_hapax,bad,0.2255563719263069,Inf
sent_count,bad,-Inf,53.5
sent_count,medium,53.5,108.75
sent_count,good,108.75,Inf
smog,good,-Inf,12.320016079839352
smog,medium,12.320016079839352,13.622657504785781
smog,bad,13.622657504785781,Inf
ttr,good,-Inf,0.2989437717412413
ttr,medium,0.2989437717412413,0.38685733383754184
ttr,bad,0.38685733383754184,Inf
verb_dist,good,-Inf,10.026788687502975
verb_dist,medium,10.026788687502975,12.033694310402872
verb_dist,bad,12.033694310402872,Inf
word_count,good,-Inf,894.5
word_count,medium,894.5,1737.5
word_count,bad,1737.5,Inf
