Variable,Importance,Sign,p_value,estimate,wilcox_p,wilcox_r,kw_p,kw_chi2,kw_epsilon2,kw_epsilon2_lci,kw_epsilon2_uci,med_sign,mean_sign,selected_pval,wilcox_sel,kw_sel,log_p,log_wilcox_p,log_kw_p,selected_reg
maentropy,0.28522280449472504,POS,1.4258285097673015e-14,-0.6520766014947401,4.290686486224458e-19,0.32540457235337095,4.2841615814012717e-19,79.73376618848589,0.106,0.0649,0.152,-1,-1,TRUE,TRUE,TRUE,31.881438246786526,42.29267002664985,42.29419189759872,TRUE
predorder.m,0.2667801762077728,NEG,1.8476774914634153e-18,-1.29584698186034,3.5102849962707337e-35,0.45102469272012063,3.502930594931736e-35,153.17772490278912,0.204,0.156,0.262,-1,-1,TRUE,TRUE,TRUE,40.832602233509675,79.33478102509127,79.33687832380943,TRUE
hapaxes,0.26314704900579394,POS,0.014323617298858247,0.1815394665183747,0.0035009723952449923,0.10641471494413186,0.003499081365480141,8.527040942150693,0.0113,0.00135,0.0321,1,1,TRUE,TRUE,TRUE,4.245845544679953,5.654714521860748,5.655254811942935,TRUE
VERBcomp,0.2467786456916158,POS,5.236633970679579e-15,0.6587063496828581,1.3648101918135522e-16,0.30130064252119637,1.3628845494072536e-16,68.35890411931496,0.0909,0.0557,0.131,1,1,TRUE,TRUE,TRUE,32.88309747499475,36.530346122553105,36.53175804207408,TRUE
NOUNcount.v,0.2271938276148183,NEG,8.854515657801627e-15,-0.7431653491323278,2.1873336827616734e-22,0.3546850320533744,2.1837151153456394e-22,94.72850838791547,0.126,0.0846,0.175,-1,-1,TRUE,TRUE,TRUE,32.35784882220157,49.87418874024738,49.875844438186164,TRUE
subj,0.22339558293670622,POS,1.6474141447823522e-14,0.6478569523807971,2.207313986808203e-19,0.328073729934633,2.203930429519505e-19,81.04717632173673,0.108,0.0679,0.156,1,1,TRUE,TRUE,TRUE,31.736984428303472,42.957340381127864,42.95887444164816,TRUE
NOUNcount.m,0.21160648479190491,POS,1.174406055099298e-24,-1.1214149730398426,3.4203638961772996e-42,0.4960376442280975,3.412492172825144e-42,185.27816840199455,0.246,0.194,0.306,-1,-1,TRUE,TRUE,TRUE,55.10127969708347,95.47882695794472,95.48113103891909,TRUE
VERBcompdist.v,0.2080078660945049,NEG,0.06577175515062664,-0.13719392380844833,0.0789703476141832,0.06402354641906274,0.07894156617802259,3.086559303890063,0.0041,1.07e-5,0.0188,-1,-1,FALSE,FALSE,FALSE,2.7215647858363106,2.5386828436312125,2.539047368837552,TRUE
predobjdist.v,0.20329033811692326,POS,7.156160512300658e-7,-0.4533410010807406,8.587654769151404e-14,0.27189962694952513,8.576686147900803e-14,55.66884357287379,0.074,0.0403,0.115,-1,-1,TRUE,TRUE,TRUE,14.150122055113341,30.085865621921972,30.08714369287112,TRUE
rfpass_animsubj,0.19672061619236123,NEG,0.08181007055009344,0.13008250309928812,0.5198302685784353,0.023460643414636693,0.5197181756739164,0.4144525474400041,5.51e-4,1.51e-6,0.00951,1,1,FALSE,FALSE,FALSE,2.503354931091746,0.6542529272688187,0.6544685841832666,TRUE
NEGcount.m,0.18763133930975387,POS,1.1350706849417201e-12,-0.6241009265960845,5.915664661776268e-15,0.28446286618035893,5.90776846517774e-15,60.93209904336539,0.081,0.0464,0.122,-1,-1,TRUE,TRUE,TRUE,27.50432618945265,32.76117253493842,32.76250822106066,TRUE
NOUNfrac.m,0.18428626159195824,NEG,0.7471719602428671,0.023635203510868414,0.445822904123993,0.027789438805808024,0.4457224493999417,0.5815064405835152,7.73e-4,3.28e-6,0.00902,1,1,FALSE,FALSE,FALSE,0.2914599192131977,0.8078334817727778,0.8080588314402498,TRUE
longexprs,0.1794738018268714,POS,0.31543174150132247,0.07363824428670308,0.4739607463571698,0.026100449508442966,0.47385650228457155,0.512968798800741,6.82e-4,1.34e-6,0.00889,-1,1,FALSE,FALSE,FALSE,1.1538129706414835,0.7466307743087642,0.7468507409176606,TRUE
redundexprs,0.17748556369236382,NEG,0.01033256025608967,-0.351378293336899,0.0012917150766831105,0.11728271335580012,0.0012893631513780017,10.357691843632626,0.0138,0.00351,0.028,0,-1,TRUE,TRUE,TRUE,4.572455179890608,6.651784426824838,6.653606863611517,TRUE
compoundVERBsdist.m,0.17538075267647243,NEG,0.0037165465475453266,-0.3902229066670737,1.0842043440096275e-12,0.2594504506275832,1.0828807634924499e-12,50.68784585713462,0.0674,0.0387,0.11,-1,-1,TRUE,TRUE,TRUE,5.594960389312491,27.550174721442755,27.551396252315882,TRUE
doubleADPs,0.16786115667787027,NEG,0.2707658840754326,-0.08158385685550182,0.3024384537486069,0.037585820961214315,0.3023595130477306,1.063758534808407,0.00141,1.93e-6,0.0117,-1,-1,FALSE,FALSE,FALSE,1.306500727876602,1.1958774808940578,1.1961385290643838,TRUE
VERBfrac.v,0.15733874331086403,POS,4.049046463056036e-6,-0.380242692684701,8.061729875708028e-8,0.19554462912393375,8.054212037794666e-8,28.79298959035047,0.0383,0.0157,0.0719,-1,-1,TRUE,TRUE,TRUE,12.417029145787193,16.33355258568476,16.334485554852684,TRUE
relativisticexprs,0.1567647742211731,NEG,0.001994818612063241,-0.34955694129382675,1.7834634381082024e-5,0.15636160024411075,1.7811519839823676e-5,18.410059373268183,0.0245,0.00828,0.0493,0,-1,TRUE,TRUE,TRUE,6.217202154045458,10.934368239443055,10.935665127985635,TRUE
NEGcount.v,0.14482990393713713,NEG,1.2767408776805875e-6,-0.37693351854970875,2.6250355870420334e-9,0.2169629274648522,2.622266606389999e-9,35.44595299101751,0.0471,0.0239,0.0801,-1,-1,TRUE,TRUE,TRUE,13.571199916397708,19.758171384026326,19.759226776228633,TRUE
compoundVERBsdist.v,0.13926403629864123,POS,6.288585910282962e-8,-0.5128462698625488,3.226603595558656e-12,0.2539153484707808,3.222745542785631e-12,48.548172154345465,0.0646,0.0352,0.104,-1,-1,TRUE,TRUE,TRUE,16.581944514050118,26.45959105033021,26.46078746663532,TRUE
NEGfrac.v,0.12620124549603665,POS,0.0322667229869008,-0.1595035737590959,0.05022749714185237,0.07136040377325682,0.0502077424835897,3.8345073955775364,0.0051,3.44e-5,0.0213,-1,-1,TRUE,FALSE,FALSE,3.433718827907437,2.991192650416,2.991586031436269,TRUE
VERBcompdist.m,0.12585662081858548,POS,0.05480097297846339,-0.19116300893500598,0.017257993178737503,0.0867806025210445,0.017250105498235052,5.670747349358632,0.00754,2.55e-4,0.0246,-1,-1,FALSE,TRUE,TRUE,2.904047330104338,4.0594798701483015,4.0599370196837565,TRUE
GPs,0.10515800040780124,NEG,0.014423474705492552,0.1828511468503886,0.07756387177740659,0.064326307083605,0.07753549258644364,3.1158189586092053,0.00414,2.04e-5,0.0191,1,1,TRUE,FALSE,FALSE,4.238898211832701,2.556653530083051,2.5570194786012292,TRUE
predsubjdist.v,0.0943868225194956,NEG,3.610146773557286e-14,-0.7235592862540928,5.968756760401867e-20,0.333264652487299,5.95946603605349e-20,83.63219243390249,0.111,0.0716,0.164,-1,-1,TRUE,TRUE,TRUE,30.95244287290325,44.26516320200188,44.266720974083384,TRUE
mamr,0.09402835064187484,NEG,4.052842349225798e-27,1.0597536879345806,2.907723888245737e-34,0.4447966898811723,2.901714879137249e-34,148.9766037829237,0.198,0.149,0.253,1,1,TRUE,TRUE,TRUE,60.77037906125385,77.22052255565563,77.2225912619428,TRUE
NOUNfrac.v,0.08567205899816518,POS,4.824808959308039e-6,0.35522742108973854,1.9564444409623096e-7,0.18962963265477964,1.9546718160820675e-7,27.077426378332145,0.036,0.0152,0.0689,1,1,TRUE,TRUE,TRUE,12.24173941788298,15.446966885850207,15.4478733406243,TRUE
obj,0.07655605003640083,POS,6.913560172846684e-4,-0.26296295805804765,0.0010265176755798982,0.11965099934002725,0.001025904698523725,10.780220317229603,0.0143,0.00258,0.0361,-1,-1,TRUE,TRUE,TRUE,7.276855646494032,6.881583102384273,6.882180422976889,TRUE
weakmeaning,0.07581159397679296,NEG,0.048983678714692454,0.14533255090445707,0.22006865993327746,0.04469667349099805,0.2200051183090043,1.5043378437337735,0.002,4.59e-6,0.0145,1,1,TRUE,FALSE,FALSE,3.0162681238127145,1.5138156907141118,1.5141044678594737,TRUE
predorder.v,0.046741960016724135,POS,5.480421184363444e-12,-0.7751097987375632,7.818321058107862e-27,0.39082541504436785,7.804095570896431e-27,115.0166122985854,0.153,0.109,0.209,-1,-1,TRUE,TRUE,TRUE,25.9298391594616,60.1133276777847,60.11514884175453,TRUE
verbalNOUNs,0.03476828974210174,NEG,1.154099336303547e-4,0.29071698147085623,3.5579000466266834e-4,0.13013607284019707,3.555613357772588e-4,12.752354283064843,0.017,0.00287,0.0414,1,1,TRUE,TRUE,TRUE,9.0670201276092,7.941169875699745,7.9418127897712765,TRUE
abstractNOUNs,0.009832096934596862,POS,0.0022029118423797173,0.2318759712129518,0.006391157792707466,0.09938383778440175,0.006387885344024112,7.437491851205818,0.00989,6.41e-4,0.028,1,1,TRUE,TRUE,TRUE,6.1179752290394775,5.052839838788166,5.0533519974404015,TRUE
NEGfrac.m,9.878057820528186e-4,POS,4.2859525405436745e-7,0.4274448206282266,5.6859802910061964e-11,0.23876583745632654,5.679571357020708e-11,42.92787122757429,0.0571,0.0309,0.0936,1,1,TRUE,TRUE,TRUE,14.662752827103176,23.590432475943466,23.59156025836235,TRUE
fkgl,0,NEG,4.921300692828097e-28,-1.2888241411507608,1.3986368755701021e-39,0.4797589822890977,1.395522403725293e-39,173.31701685856444,0.23,0.182,0.291,-1,-1,TRUE,TRUE,TRUE,62.87880973980725,89.46532052476874,89.4675497986385,FALSE
