columns,kernel,gamma,cost,error,dispersion,degree
all,radial,10,10,0.43179824561403507,0.048842952027148855,NA
all,radial,100,10,0.4423872180451128,0.04788292401275897,NA
all,radial,1000,10,0.4423872180451128,0.04788292401275897,NA
all,radial,0.001,100,0.20588972431077696,0.057643126527752865,NA
all,radial,0.01,100,0.2627192982456141,0.06641147533479631,NA
all,radial,0.1,100,0.32321428571428573,0.05589021795989,NA
all,radial,1,100,0.4175125313283208,0.047682680830661454,NA
all,radial,10,100,0.43179824561403507,0.048842952027148855,NA
all,radial,100,100,0.4423872180451128,0.04788292401275897,NA
all,radial,1000,100,0.4423872180451128,0.04788292401275897,NA
all,radial,0.001,1000,0.2288847117794486,0.05715359661791586,NA
all,radial,0.01,1000,0.2893483709273183,0.06530553602179529,NA
all,radial,0.1,1000,0.32321428571428573,0.05589021795989,NA
all,radial,1,1000,0.4175125313283208,0.047682680830661454,NA
all,radial,10,1000,0.43179824561403507,0.048842952027148855,NA
all,radial,100,1000,0.4423872180451128,0.04788292401275897,NA
all,radial,1000,1000,0.4423872180451128,0.04788292401275897,NA
all,polynomial3,0.001,0.001,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.01,0.001,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.1,0.001,0.23963032581453633,0.04713138525870781,3
all,polynomial3,1,0.001,0.28771929824561404,0.049788314736270656,3
all,polynomial3,0.001,0.01,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.01,0.01,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.1,0.01,0.23079573934837092,0.045715273587704434,3
all,polynomial3,1,0.01,0.2931704260651629,0.0477196591342194,3
all,polynomial3,0.001,0.1,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.01,0.1,0.4457706766917293,0.06307840677272261,3
all,polynomial3,0.1,0.1,0.26453634085213035,0.05420115388472806,3
all,polynomial3,1,0.1,0.2931704260651629,0.0477196591342194,3
all,polynomial3,0.001,1,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.01,1,0.24141604010025064,0.04789994501294076,3
all,polynomial3,0.1,1,0.28771929824561404,0.049788314736270656,3
all,polynomial3,1,1,0.2931704260651629,0.0477196591342194,3
all,polynomial3,0.001,10,0.4492794486215539,0.06029658743035727,3
all,polynomial3,0.01,10,0.23079573934837092,0.045715273587704434,3
all,polynomial3,0.1,10,0.2931704260651629,0.0477196591342194,3
all,polynomial3,1,10,0.2931704260651629,0.0477196591342194,3
all,polynomial4,0.001,0.001,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.01,0.001,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.1,0.001,0.3427631578947368,0.06418058481051545,4
all,polynomial4,0.001,0.01,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.01,0.01,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.1,0.01,0.3356203007518797,0.054262655334432475,4
all,polynomial4,0.001,0.1,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.01,0.1,0.4512218045112782,0.06352864559997838,4
all,polynomial4,0.1,0.1,0.3586152882205514,0.05275038680008698,4
all,polynomial4,0.001,1,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.01,1,0.43164160401002505,0.05297004652484174,4
all,polynomial4,0.1,1,0.33380325814536344,0.03961081820492445,4
all,polynomial4,0.001,10,0.4494674185463659,0.06202604034876177,4
all,polynomial4,0.01,10,0.3427631578947368,0.06418058481051545,4
all,polynomial4,0.1,10,0.3319548872180451,0.05162854885059762,4
all,polynomial5,0.001,0.001,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.01,0.001,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.1,0.001,0.30178571428571427,0.0655651600877199,5
all,polynomial5,0.001,0.01,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.01,0.01,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.1,0.01,0.29116541353383457,0.048755385292978175,5
all,polynomial5,0.001,0.1,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.01,0.1,0.4526942355889724,0.0672811297855029,5
all,polynomial5,0.1,0.1,0.27531328320802007,0.05051211797666418,5
all,polynomial5,0.001,1,0.44918546365914785,0.06166222159006508,5
all,polynomial5,0.01,1,0.4455827067669173,0.07149938382910581,5
all,polynomial5,0.1,1,0.2931390977443609,0.05300590791914094,5
all,sigmoid,0.001,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.01,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.1,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,1,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,10,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,100,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,1000,0.001,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.001,0.01,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.01,0.01,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.1,0.01,0.24338972431077693,0.05660338758578787,NA
all,sigmoid,1,0.01,0.2505325814536341,0.05513251418817881,NA
all,sigmoid,10,0.01,0.24699248120300754,0.05582640742256815,NA
all,sigmoid,100,0.01,0.24877819548872182,0.05746419298330437,NA
all,sigmoid,1000,0.01,0.24877819548872182,0.05363733221549369,NA
all,sigmoid,0.001,0.1,0.4494987468671679,0.08645012140326766,NA
all,sigmoid,0.01,0.1,0.23452380952380952,0.058313367879985444,NA
all,sigmoid,0.1,0.1,0.27167919799498746,0.06073400775011993,NA
all,sigmoid,1,0.1,0.29852756892230575,0.05310793640582535,NA
all,sigmoid,10,0.1,0.3161340852130326,0.04404955752837065,NA
all,sigmoid,100,0.1,0.30720551378446115,0.047678827036481596,NA
all,sigmoid,1000,0.1,0.3019110275689223,0.04248298193834093,NA
all,sigmoid,0.001,1,0.23095238095238096,0.0545894029766426,NA
all,sigmoid,0.01,1,0.22199248120300752,0.06902305236406367,NA
all,sigmoid,0.1,1,0.35695488721804514,0.04700528925983818,NA
